,Title,Ingredients,Kcal,Fat,SaturatedFat,Protein,Carbohydrates,Sugars,Fibre,Salt,Country
57,Tomato and bacon lasagne,"2 tbsp olive oil, 200g free-range British smoked bacon lardons, 250g lean free-range British pork mince, 1 large celery stick, finely chopped, 1 large carrot, finely chopped, 3 garlic cloves, chopped or sliced, 200ml white wine, 700ml jar tomato passata or crushed tomatoes, 1 veg stock pot (we used Knorr), 6 large fresh lasagne sheets, 2 tbsp freshly grated parmesan, 750ml skimmed milk, 2 bay leaves, 6 black peppercorns, 3 tbsp olive oil, 3 tbsp plain flour, Whole nutmeg for grating",458.0,22.6,6.5,24.3,31.6,11.9,3.9,2.1,Italy
58,Honey tiramisu,"5 egg yolks, 5 tablespoons clear honey, 250g mascarpone cheese, 250g smetana or soured cream, 200ml very strong black tea, cooled, 200g sponge fingers, preferably without a sugar coating, Ground cinnamon, for dusting",,,,,,,,,Italy
59,Ploughman’s pizza,"220g pack frozen ready-to-roll pizza dough, defrosted (we used Northern Dough Co Original), 4 tbsp fruity chutney, 200g cheese (we used a mix of mature cheddar and stilton), 100g cooked ham, sliced or shredded, 50g fresh watercress",811.0,42.4,25.3,47.3,59.0,12.1,2.1,5.2,Italy
60,Goat’s cheese and chicory crostini with balsamic pickled shallots,"500g shallots, 1 tbsp fine sea salt, 350ml malt vinegar, 150ml balsamic vinegar, 100g caster sugar, 3 bay leaves, 2 fresh rosemary sprigs, 2 fresh thyme sprigs, ½ tsp black peppercorns, 1 tsp pink peppercorns, ¼ tsp each black and yellow mustard seeds, ½ tsp caraway seeds, 3 large slices sourdough, 3 tbsp olive oil, plus extra for drizzling, 2 heads red or yellow chicory, finely sliced, 1 fresh thyme sprig, 2 tbsp clear honey, plus extra for drizzling, Handful fresh flatleaf parsley, finely chopped, 100g soft goat’s cheese, 1 large (about 1 litre) sterilised jar, or several smaller jars with lids",66.0,3.2,1.2,2.2,6.6,3.2,0.8,0.4,Italy
61,Smoked haddock and pea risotto,"2 tbsp light olive oil, 1 leek (about 150g), finely sliced, 200g frozen sustainable smoked haddock, defrosted, 100g frozen peas, 300ml semi-skimmed milk, About 750ml turkey or vegetable stock, 180g risotto rice, 50g grana padano, grated (or any other hard cheese you have in the fridge), Finely grated zest and juice ½ lemon, Small handful fresh parsley, chopped",717.0,21.0,7.1,40.9,87.8,9.8,6.4,2.4,Italy
62,"Pancetta, watercress and mozzarella arancini","50g hard mozzarella , ½ batch pancetta and watercress risotto defrosted if frozen, 75g plain flour, 100g dried breadcrumbs, 2 medium free-range eggs, Vegetable oil for deep-frying, Pinch sea salt flakes, Digital probe thermometer ",167.0,6.5,2.1,6.1,20.5,0.8,0.7,0.6,Italy
63,Bagna cauda (anchovy and garlic sauce),"2 large garlic bulbs, cloves separated, peeled and halved lengthways, then the small green shoots (germ) removed , 1 litre whole milk, 8-12 large anchovy fillets (see tips) , 40g walnut pieces, 100g unsalted butter, melted, 25ml extra-virgin olive oil",373.0,34.6,15.9,7.3,7.1,3.5,1.8,0.3,Italy
64,Pancetta and watercress risotto,"150g cubed pancetta (see tip), 1 tbsp light olive oil, 1 onion, finely chopped, 1.8 litres chicken or vegetable stock , 360g risotto rice , Splash dry white wine (optional), 100g bag watercress, chopped, 75g grana padano cheese, grated, Grated zest and juice 1 lemon",400.0,14.6,6.1,13.6,51.3,2.0,1.7,1.9,Italy
65,Spinach and artichoke one-pan pasta,"350g dried tagliatelle (see tip) , 1.2 litres vegetable stock (preferably fresh but you can use stock cubes), 2 tbsp olive oil , 2 fresh basil sprigs, leaves torn, plus extra to serve , ½ tsp chilli flakes, 2 x 175g packs chargrilled artichokes in oil, drained, 4 garlic cloves, sliced , 115g baby spinach leaves, 150g mini mozzarella, drained, 2 tbsp pine nuts, toasted in a dry pan",594.0,25.4,7.4,22.4,65.1,3.9,8.0,2.1,Italy
66,Zuppa di ceci e farro (chickpea and farro soup),"800g dried chickpeas, 2-3 fresh sage sprigs , 4-5 fresh parsley sprigs , 2 fresh rosemary sprigs , 3 bay leaves, 6 garlic cloves, 200g farro, 100ml extra-virgin olive oil, 2 garlic cloves, sliced , 4 fresh rosemary sprigs, leaves stripped , 1 tsp chilli flakes",394.0,15.9,4.3,18.3,38.7,2.8,11.5,0.2,Italy
67,Rotolo di spinaci (spinach roll),"650-750g floury potatoes (such as maris piper), scrubbed , 2 tbsp olive oil, 125g unsalted butter, 1 small leek, cut into thin strips and washed thoroughly, 300g frozen spinach, defrosted and squeezed dry, 150g ricotta, 100g parmesan (or vegetarian alternative), freshly grated, Grating fresh nutmeg, 1 medium free-range egg, 100-150g plain flour, 1 tbsp salt, 6-7 fresh sage leaves, roughly torn, 1 garlic clove, crushed, Deep frying pan or saucepan with a tight-fitting lid at least 35cm in diameter (or a fish kettle or deep roasting tin that will go on the hob – see tips) , Potato ricer",477.0,30.1,16.7,15.0,34.4,2.1,3.8,0.4,Italy
68,Tortino di porri e riso (leek and rice bake),"400g leeks, trimmed and sliced into 5mm rounds (see Anna’s tip), 85g arborio rice, 2 medium free-range eggs, 100ml extra-virgin olive oil, 4 tbsp freshly grated parmesan or vegetarian alternative,  3 tbsp dried breadcrumbs",412.0,26.4,6.4,13.5,28.5,2.8,3.2,0.5,Italy
69,Italian sausage and porcini mushroom casserole,"30g dried porcini mushrooms, 1 tbsp olive oil, 8 good-quality venison sausages or British outdoor-reared pork sausages, 75g diced pancetta, 1 large onion, chopped, 4 garlic cloves, crushed, 3 fresh rosemary sprigs, leaves chopped, 1 tsp fennel seeds, lightly crushed, ½ tsp chilli flakes, 250g portobellini or brown mushrooms, thickly sliced, 125ml red wine, 1 tbsp tomato purée, 500ml passata, 150ml beef stock, 75g sun-dried tomatoes in oil, drained and sliced, 2 bay leaves, Handful fresh flatleaf parsley, chopped",471.0,27.6,7.5,31.0,17.2,14.9,3.5,1,Italy
70,Spicy sausage and lentil casserole,"1 tbsp olive oil, 8 Italian-style pork sausages (at least 70 per cent meat content), 1 large onion, chopped, 1 large carrot (about 200g), diced, 3 garlic cloves, crushed, 1 tsp chilli flakes, 2 tsp ground cumin seeds, 2 tsp paprika, 1 tbsp tomato purée, 100g red lentils, 600ml good quality chicken stock, 200g chopped tomatoes, 150g cooked or canned puy lentils, rinsed and drained, 3 tbsp chopped fresh flatleaf parsley",504.0,25.3,8.7,30.9,33.5,10.0,9.6,1.9,Italy
71,"Gnocchi with sun-dried tomato pesto, peas and pecorino","45g pine nuts, 1 tbsp extra-virgin olive oil, Bunch spring onions, sliced, 165g jar sun-dried tomato pesto (we used Belazu), 2 tbsp crème fraîche, 300g frozen peas, 500g fresh gnocchi, 3 large handfuls baby spinach, Small bunch fresh basil, torn, Lemon juice to taste, 50g pecorino, grated",585.0,31.3,7.8,18.7,52.9,6.5,8.4,2.3,Italy
72,Cheeseburger meatballs,"Olive oil for frying, 1 large red onion, chopped, 400g British beef mince, 300g British free-range pork mince, 1 tsp sweet smoked paprika, 1 tbsp chopped fresh flatleaf parsley, 100g mozzarella for cooking, cut into 12 equal chunks, 2 garlic cloves, chopped, 150ml red wine, Splash red wine vinegar, 2 x 400g cans chopped tomatoes, Pinch caster sugar, 2 brioche bread rolls, 75g cheddar, grated, 4 little gem lettuces, cut into quarters (or half if small), 1-2 large gherkins, chopped, 1 red onion, sliced into rings, soaked in cold water (see tip), 3 tbsp Maille mustard mayonnaise, 1 tbsp ketchup (we used reduced sugar), 1 tsp sweet mustard",548.0,34.9,13.4,33.4,18.6,11.0,3.7,0.9,Italy
73,Sausage and fennel pasta bake,"4 tsp olive oil, 1 onion, finely sliced, 1 large fennel bulb, finely sliced, 2 garlic cloves, crushed, 1 tbsp fennel seeds, bruised, Pinch chilli flakes, Small handful fresh flatleaf parsley, stalks and leaves chopped separately, 400g free-range sausages, 75g sun blush tomatoes, roughly chopped, 400g tin chopped tomatoes, 680g jar passata with basil, 300ml hot chicken stock, 500g rigatoni pasta, 125g mozzarella ball, torn, 35g breadcrumbs, 75g gruyère, grated",731.0,29.4,12.1,37.2,75.2,11.0,8.0,",2.4",Italy
74,Fettuccine alfredo,"300g dried fettucine, Splash olive oil, 100ml double cream, 100g parmesan (or vegetarian alternative), grated, plus extra to serve, 100g butter, Handful flatleaf parsley, roughly chopped",,,,,,,,,Italy
75,"Fig, orange and ricotta cheesecake puddings","10 digestive biscuits, 35g mixed honey roasted nuts, 35g unsalted butter, melted, 180g full-fat cream cheese (we used Philadelphia), 125g ricotta, 150ml double cream, 6 tbsp icing sugar, Finely grated zest and juice 1 orange, 4 tbsp Grand Marnier or other orange liqueur, 8 figs, halved or quartered",390.0,25.6,14.5,5.7,29.1,21.4,1.5,0.5,Italy
76,"Fig, pancetta and burrata pizzas","280g self-raising flour, plus extra to dust, 250g natural yogurt, ½ tsp baking powder, 10 pancetta slices, 100g ball burrata, Large handful wild rocket, Large handful chopped radicchio leaves (or chicory leaves), 4 figs, quartered, Clear honey for drizzling",486.0,15.5,7.5,20.2,65.5,22.4,3.8,2.3,Italy
77,Lighter bolognese sauce,"1 tbsp olive oil, 1 onion, finely chopped, 1 celery stick, finely chopped, 1 carrot, finely chopped (see tips), 250g mushrooms, finely chopped, 4 garlic cloves, crushed, 1 tsp dried oregano, 750g pork mince, 250g beef mince (see tips), 2 tbsp tomato purée, 2 bay leaves, 2 thyme sprigs, 400g tin chopped tomatoes, 350ml beef stock, hot, 400ml tomato passata",281.0,15.9,5.9,27.0,6.5,5.5,2.1,0.7,Italy
78,Super green pasta,"500g penne pasta, 200g pot of houmous, 1 avocado, roughly chopped, 1 courgette, roughly chopped, 200ml light coconut milk, 100g defrosted frozen peas, Finely grated zest and juice of ½ lemon, The leaves of 5-6 fresh mint sprigs, Extra squeeze of lemon, lemon zest, black pepper, a few torn mint leaves and sea salt flakes, to serve",500.0,18.0,4.4,15.0,65.6,3.2,8.9,0.3,Italy
79,Pork and fennel gnocchi grill,"2 tsp olive oil, 3 free-range British pork sausages, 1 courgette, coarsely grated, 2 tsp fennel seeds, bruised, Pinch chilli flakes, Large handful fresh parsley, leaves chopped, Grated zest and juice 1 lemon, 800g gnocchi, 25g fresh breadcrumbs, 25g grana padano, grated",455.0,13.7,4.9,12.6,67.6,2.7,5.1,1.6,Italy
80,"Roast beef with aubergine, peppers and cannellini beans","1.2-1.5kg boned and rolled British beef topside joint, 4 tbsp olive oil, plus extra to rub and drizzle, 1 tbsp cumin seeds, 1 tsp mustard seeds, 1 tsp coriander seeds, 20g fresh oregano, leaves picked and chopped, 1 tbsp chopped fresh thyme leaves, ½ tsp sea salt flakes, 2 aubergines, cut into wedges, then scored, 2 red peppers, cut into rough chunks, 2 red onions, cut into quarters through the root, 4 fat garlic cloves, bashed with the side of a knife, 150ml red wine, 2 x 400g tins cannellini beans, drained and rinsed, Handful fresh basil leaves to serve, Digital probe thermometer",482.0,15.2,3.6,54.4,21.8,7.0,11.1,0.82,Italy
81,Italian cherry and almond tart,"175g plain flour, plus extra to dust, 50g icing sugar, plus extra to dust, 90g chilled unsalted butter, cut into small pieces, 1 medium free-range egg yolk, 1 tbsp ice cold water, 175g unsalted butter, softened, 175g caster sugar, 175g blanched whole almonds, 2 medium free-range eggs, 400g cherries, stalks removed and pitted, 23cm fluted loose-bottomed flan tin, 3cm deep",505.0,33.5,15.1,8.6,41.7,27.8,1.2,0.2,Italy
82,Quick chicken cacciatore,"2 tsp light olive oil, 4 free-range chicken legs,  1 large fennel bulb, sliced into 6 wedges, 500g halved baby new potatoes, 5 bay leaves, 5 garlic cloves, quartered, 6 anchovy fillets in oil, 100g olives with rosemary and black pepper, roughly chopped, 350ml chicken stock, 150ml single cream",410.0,20.7,7.3,32.1,21.8,3.2,4.0,1.5,Italy
83,Tapenade pappardelle with ricotta,"150g dried pappardelle pasta , 100g olives with rosemary and black pepper, 1 large garlic clove, 1 tbsp rinsed capers, 3 chopped sun-dried tomatoes, A handful of chopped flatleaf parsley, 60ml extra-virgin olive oil, 100g ricotta, Fresh basil leaves , 25g toasted pine nuts",783.0,50.0,8.9,17.7,62.8,6.9,5.7,1,Italy
84,Brown butter caramel and rye bread gelato,"100g stale rye bread (we used  The Village Bakery Organic  Rossisky Rye Bread), 600ml whole milk,  1 tsp vanilla bean paste,  75g golden caster sugar,  3 tbsp cornflour,  1 large free-range egg yolk,  300ml double cream,  80g salted butter,  200g golden caster sugar,  200ml double cream,  1 tsp sea salt flakes",155.0,11.2,7.5,1.4,12.1,9.6,0.2,0.3,Italy
85,Caesar tagliatelle,"300g tagliatelle, 4 tsp light olive oil, 60g dried breadcrumbs, 3-4 garlic cloves, crushed, 4 baby gem lettuces, quartered lengthways, 8-10 anchovy fillets, roughly chopped, 4 spring onions, thinly sliced, 2 medium free-range eggs, beaten, 70g parmesan, finely grated, Few dashes Worcestershire sauce, Handful fresh flatleaf parsley leaves, finely chopped",483.0,12.9,4.8,23.1,66.5,3.1,4.6,0.8,Italy
86,Meatball and taleggio subs,"1 red onion, sliced, 2 tbsp red wine vinegar, 2 large submarine rolls (or any bread rolls/baguette you fancy), ½ batch meatballs in tomato sauce, 200g taleggio or mozzarella, sliced, A few fresh basil leaves to garnish",642.0,36.9,17.0,43.8,31.8,11.4,4.0,1.7,Italy
87,Classic meatballs in tomato sauce,"Olive oil for frying, 3 onions, finely chopped, 3 garlic cloves, crushed, 2 tsp cumin seeds, 1 tbsp tomato purée, 1-2 tbsp ancho chilli paste or chipotle paste (depending on how hot you want it), 2 x 400g tins chopped tomatoes, 500ml beef stock, 1kg free-range British beef mince, 2 large free-range eggs, beaten, 100ml whole milk, Rice, pasta and parmesan cheese to serve",398.0,25.7,9.9,30.4,10.2,8.8,2.3,0.8,Italy
88,Tomato and burrata salad with basil oil,"400-500g cherry tomatoes (mixed colours, on or off the vine), 2 garlic cloves, chopped, 6 tbsp extra-virgin olive oil, plus extra for drizzling and brushing, 2 tbsp aged balsamic vinegar, Large bunch fresh basil, leaves picked, Grated zest and juice 1 lemon, 1 small or ½ large focaccia, 90g bag wild rocket, 2 x 200g burrata balls (or use good buffalo mozzarella), 2 tbsp toasted pine nuts",264.0,23.4,6.7,8.4,4.1,3.8,1.3,0.4,Italy
89,Mushroom tagliatelle alfredo with chicken milanese,"250g cherry tomatoes on the vine, 2 large free-range chicken breasts, 50g fresh breadcrumbs, 40g grana padano, grated, 1 large free-range egg, beaten, 50g plain flour, Olive oil for frying, 250g fresh tagliatelle, 2 banana shallots, finely chopped, 2 garlic cloves, crushed, 200g mushrooms, finely sliced, 300ml single cream, 100g baby leaf spinach, Grated zest and juice 1 lemon, plus extra wedges to serve, Handful fresh basil, finely chopped, 50g grana padano cheese, grated, plus extra to serve",604.0,18.4,9.9,47.1,59.9,6.2,5.3,0.9,Italy
90,Ascolana olives,"1 litre vegetable oil for deep-frying, 1 heaped tbsp plain flour, seasoned with salt and pepper, 1 large free-range egg, beaten, 50g dried breadcrumbs (we used panko – widely available), 1 lemon, 30g grana padano cheese, grated, 150g can large green pitted olives (we used Perello Gordol, from Ocado and Amazon), drained, 8 anchovy fillets in oil, halved, Digital probe thermometer",60.0,4.3,0.8,2.1,3.1,0.2,0.4,0.6,Italy
91,"Cheesy potato frittata with radicchio, salami and olive salad ","500g waxy potatoes such as charlotte, cut into 5mm thick slices, 2 tbsp olive oil, 4 banana shallots, sliced, 2 garlic cloves, crushed, 6 large free-range eggs, 100ml whole milk, Bunch fresh parsley, coarsely chopped, 75g grana padano cheese, grated, 125g ball mozzarella (regular or smoked), sliced, 1 head pink/red radicchio, leaves separated, 100g bag rocket, 70g salami, sliced, 75g nocellara or other green olives, pitted and sliced, 1 tbsp balsamic vinegar, 3 tbsp extra-virgin olive oil, Juice ½ lemon, Grana padano shavings to serve, 25cm non-stick ovenproof frying pan",392.0,24.7,9.9,23.1,17.6,2.6,3.4,1.6,Italy
92,"Cavatelli with crab, lemon and chilli sauce","3 tbsp extra-virgin olive oil, plus extra for drizzling, 3 garlic cloves, finely chopped, 1 red chilli, deseeded and finely chopped, 100ml dry white wine, 200g brown crabmeat (we used Seafood & Eat It), 25g butter, 200g white crabmeat, Grated zest and juice 1½ lemons, Bunch fresh dill, leaves picked, Bunch fresh flatleaf parsley, chopped, 200g Italian ‘00’ flour (from the baking section of larger supermarkets), plus extra to dust, 1 large free-range egg, plus 3 yolks, beaten with 1 tbsp water, 1 tbsp chilli oil, 50g fresh breadcrumbs, ½ tsp chilli flakes",613.0,29.9,7.7,31.2,48.9,1.6,2.9,1.2,Italy
93,Aubergine al forno with ’nduja,"4 tbsp extra-virgin olive oil, plus extra for brushing, 2 garlic cloves, chopped, 2 x 400g cans chopped tomatoes, 1 tbsp ’nduja (we used Natoora, from Ocado; or use 50g spicy cooking chorizo, chopped), 3 large or 4 small aubergines, Large bunch fresh basil, 1-2 tsp sugar, ½ lemon, 200g smoked mozzarella (or use regular mozzarella), 100g grana padano cheese, grated, 100g shelled hazelnuts, toasted and roughly chopped, 1.2 litre ovenproof baking dish",369.0,27.8,10.0,17.0,10.0,9.2,5.7,0.7,Italy
94,Rabbit ragù lasagne,"250g fresh lasagne sheets, Olive oil for frying, 100g smoked bacon lardons, 1 onion, finely sliced, 3 carrots, finely diced, 2 celery sticks, finely diced, 2 garlic cloves, crushed, 500g rabbit mince (ask your butcher; or use mixed game, beef mince or turkey thigh mince), 200ml red wine, 2 tbsp Worcestershire sauce, 2 tbsp tomato purée, 150ml whole milk, 400g tin chopped tomatoes, 1 tbsp finely chopped fresh oregano, Small bunch fresh basil, leaves picked, 850ml whole milk, 6 cloves, 2 mace blades, 2 bay leaves, 60g unsalted butter, 60g plain flour, 80g grana padano cheese, grated, Pinch freshly grated nutmeg",502.0,22.9,1.9,32.9,34.5,11.5,3.8,0.8,Italy
95,Negroni cheesecake,"50g blanched hazelnuts, toasted in a dry pan until golden, 2 x 90g packs Loaker Napolitaner wafer biscuits, 4 tbsp melted butter, 2 x 280g packs full-fat cream cheese (we used Philadelphia), 80g caster sugar, 3 oranges, 200ml double cream, 6 gelatine leaves (we used Costa), 300ml Campari negroni, chilled, Deep 20cm loose-bottomed cake tin",496.0,35.5,21.8,6.7,26.9,20.8,0.7,0.6,Italy
